"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AT1G23201",2.55052360062533e-67,5.21844232865191,0.037,0.001,5.5282599043554e-63,"cortex","AT1G23201"
"AT4G199751",2.91088524711342e-66,5.00088846425184,0.049,0.002,6.30934377311834e-62,"cortex","AT4G19975"
"AT4G26150",1.0418561141725e-65,7.55547731592948,0.029,0,2.25822312746888e-61,"cortex","AT4G26150"
"AT5G38540",1.06118381059469e-65,7.29244291009569,0.029,0,2.30011590946399e-61,"cortex","AT5G38540"
"AT4G33050",2.24700639855906e-64,5.82396615185538,0.035,0.001,4.87038636887677e-60,"cortex","AT4G33050"
"AT1G23090",1.15589852140872e-45,6.01490893456678,0.023,0,2.50541004515341e-41,"cortex","AT1G23090"
"AT4G02700",2.22505232235201e-28,5.3919785836466,0.016,0,4.82280090869797e-24,"cortex","AT4G02700"
"AT4G27170",7.80679804249681e-25,7.36283223798709,0.01,0,1.69212347571118e-20,"cortex","AT4G27170"
"AT2G05100",2.58676586196118e-24,6.17996818083727,0.014,0,5.60681500580085e-20,"cortex","AT2G05100"
"AT2G04025",0,7.09178211263509,0.804,0.081,0,"columella","AT2G04025"
"AT3G01840",0,6.15763124190658,0.679,0.027,0,"columella","AT3G01840"
"AT1G18265",0,6.78272818786409,0.606,0.033,0,"columella","AT1G18265"
"AT5G02070",0,6.38917492284459,0.59,0.018,0,"columella","AT5G02070"
"AT1G04610",0,5.51898557707888,0.7,0.129,0,"columella","AT1G04610"
"AT2G053301",0,5.13473947364853,0.59,0.043,0,"columella","AT2G05330"
"AT1G17400",0,7.35909352407617,0.542,0.013,0,"columella","AT1G17400"
"AT3G60650",0,7.51350768655224,0.497,0.006,0,"columella","AT3G60650"
"AT1G13620",0,8.74188713984107,0.513,0.03,0,"columella","AT1G13620"
"AT3G55550",0,6.76272115826614,0.485,0.008,0,"columella","AT3G55550"
"AT1G721801",0,5.11723119421022,0.455,0.023,0,"columella","AT1G72180"
"AT1G266801",0,5.39712562288148,0.337,0.013,0,"columella","AT1G26680"
"AT3G107801",0,5.00176560837911,0.312,0.015,0,"columella","AT3G10780"
"AT2G251301",0,5.21186682666608,0.304,0.012,0,"columella","AT2G25130"
"AT5G07550",0,5.93425407924487,0.297,0.009,0,"columella","AT5G07550"
"AT3G28540",0,7.9699295212571,0.278,0.002,0,"columella","AT3G28540"
"AT1G35230",0,5.97051721372707,0.276,0.008,0,"columella","AT1G35230"
"AT3G57670",0,6.22566642223857,0.252,0.004,0,"columella","AT3G57670"
"AT5G27200",0,5.91917653417422,0.252,0.008,0,"columella","AT5G27200"
"AT2G359501",0,5.05590360596986,0.248,0.012,0,"columella","AT2G35950"
"AT1G32900",0,5.74713157248398,0.231,0.007,0,"columella","AT1G32900"
"AT3G036601",0,5.31881048638671,0.225,0.008,0,"columella","AT3G03660"
"AT3G53040",0,7.52391552065643,0.188,0.003,0,"columella","AT3G53040"
"AT3G62320",8.10493969243295e-295,6.92942056567102,0.154,0.002,1.75674567833484e-290,"columella","AT3G62320"
"AT2G45660",4.35005448510811e-286,5.34490423629744,0.212,0.009,9.42874309647183e-282,"columella","AT2G45660"
"AT3G03620",8.88764202849707e-256,5.24876755354489,0.193,0.008,1.92639640967674e-251,"columella","AT3G03620"
"AT4G34970",5.93972481075947e-248,5.34581039429202,0.619,0.165,1.28743535273212e-243,"columella","AT4G34970"
"AT3G20880",1.45948538242205e-239,7.09424652439607,0.118,0.001,3.16343456639979e-235,"columella","AT3G20880"
"AT2G46990",2.86189070887554e-221,5.65169844996708,0.187,0.01,6.20314811148774e-217,"columella","AT2G46990"
"AT5G17170",1.8054093756e-208,6.36640703778351,0.11,0.002,3.913224821613e-204,"columella","AT5G17170"
"AT1G06990",1.06853261065689e-196,6.86033250845534,0.103,0.001,2.31604443359881e-192,"columella","AT1G06990"
"AT2G33230",6.56488104795426e-195,6.6933532074375,0.104,0.002,1.42293796714409e-190,"columella","AT2G33230"
"AT4G099401",6.20566605631764e-191,5.19555574735856,0.13,0.004,1.34507811770685e-186,"columella","AT4G09940"
"AT4G212001",3.05751126642102e-186,6.33078312805279,0.109,0.002,6.62715566996756e-182,"columella","AT4G21200"
"AT1G02770",3.03440502984672e-175,5.45363987583832,0.106,0.003,6.57707290219277e-171,"columella","AT1G02770"
"AT1G72100",1.38647363606886e-166,5.76518595219856,0.109,0.003,3.00518160617925e-162,"columella","AT1G72100"
"AT3G25510",4.55031174699932e-165,5.503619724915,0.107,0.003,9.86280071162103e-161,"columella","AT3G25510"
"AT1G51220",5.49657280262851e-128,6.53241698922244,0.067,0.001,1.19138215496973e-123,"columella","AT1G51220"
"AT3G44240",6.10311529692121e-107,7.63334589807322,0.048,0,1.32285024060767e-102,"columella","AT3G44240"
"AT4G16940",4.63870918480326e-102,5.49918065974851,0.063,0.002,1.00544021580611e-97,"columella","AT4G16940"
"AT4G26790",5.84069008483288e-92,5.28896295235816,0.052,0.001,1.26596957588753e-87,"columella","AT4G26790"
"AT5G37165",1.14798372694011e-82,8.91574562877394,0.034,0,2.4882547281427e-78,"columella","AT5G37165"
"AT5G41740",4.6652368010868e-81,5.51786868065328,0.046,0.001,1.01119007663556e-76,"columella","AT5G41740"
"AT5G20420",8.32789380645676e-77,5.52342820599518,0.046,0.001,1.8050709825495e-72,"columella","AT5G20420"
"AT2G27535",6.4012473289762e-70,6.95638761327129,0.036,0,1.38747035855559e-65,"columella","AT2G27535"
"AT5G63580",1.15358002841423e-63,5.59381753388658,0.037,0.001,2.50038471158785e-59,"columella","AT5G63580"
"AT2G33010",2.90464524379745e-59,5.00885503316542,0.034,0.001,6.29581856593096e-55,"columella","AT2G33010"
"AT1G53420",8.34166147520486e-51,5.0633028171878,0.031,0.001,1.80805512475065e-46,"columella","AT1G53420"
"AT4G34550",1.16444720609821e-49,6.06774872221899,0.027,0,2.52393931921788e-45,"columella","AT4G34550"
"AT1G12130",1.87714302283913e-48,5.866836028293,0.028,0.001,4.06870750200382e-44,"columella","AT1G12130"
"AT5G38565",2.47100372608089e-47,5.48278622149784,0.027,0.001,5.35590057628034e-43,"columella","AT5G38565"
"AT1G28180",8.14795752763704e-44,7.40117245594419,0.019,0,1.76606979411533e-39,"columella","AT1G28180"
"AT5G37160",8.193112765125e-44,7.00885503316543,0.019,0,1.77585719184084e-39,"columella","AT5G37160"
"AT2G14670",8.23897607712644e-44,7.00885503316543,0.019,0,1.78579806471716e-39,"columella","AT2G14670"
"AT4G17680",1.74676597558373e-34,6.17878003460774,0.018,0,3.78611525207774e-30,"columella","AT4G17680"
"AT3G48770",9.40406480549929e-34,6.33078312805279,0.016,0,2.03833104659197e-29,"columella","AT3G48770"
"AT1G11510",7.20790437593725e-23,6.33078312805279,0.01,0,1.5623132734844e-18,"columella","AT1G11510"
"AT2G42800",5.18914607522094e-18,5.33078312805279,0.01,0,1.12474741180414e-13,"columella","AT2G42800"
"AT3G104501",0,5.59041693081326,0.299,0.01,0,"ground tissue","AT3G10450"
"AT5G59090",0,5.61793110404982,0.997,0.122,0,"phloem","AT5G59090"
"AT2G43050",0,6.89002534323629,0.768,0.032,0,"phloem","AT2G43050"
"AT2G310851",0,5.12403483824253,0.758,0.071,0,"phloem","AT2G31085"
"AT3G14780",0,5.46853963283498,0.684,0.033,0,"phloem","AT3G14780"
"AT5G43380",0,6.94702254954743,0.658,0.034,0,"phloem","AT5G43380"
"AT1G62380",0,5.52243850975498,0.993,0.403,0,"phloem","AT1G62380"
"AT1G26450",0,5.65164732902728,0.647,0.075,0,"phloem","AT1G26450"
"AT5G546601",0,5.11524804664167,0.567,0.024,0,"phloem","AT5G54660"
"AT4G36410",0,6.34415237226694,0.562,0.024,0,"phloem","AT4G36410"
"AT5G040801",0,5.77076434189195,0.553,0.05,0,"phloem","AT5G04080"
"AT4G345601",0,5.02249544587109,0.514,0.02,0,"phloem","AT4G34560"
"AT1G78580",0,5.6080265700251,0.505,0.029,0,"phloem","AT1G78580"
"AT1G103801",0,5.34120605772525,0.543,0.071,0,"phloem","AT1G10380"
"AT1G235501",0,5.08829523702094,0.495,0.023,0,"phloem","AT1G23550"
"AT5G42146",0,7.63737886495336,0.478,0.013,0,"phloem","AT5G42146"
"AT3G15353",0,6.30298977155649,0.49,0.034,0,"phloem","AT3G15353"
"AT5G64240",0,6.65202792357598,0.465,0.021,0,"phloem","AT5G64240"
"AT5G02600",0,6.78046838621687,0.451,0.016,0,"phloem","AT5G02600"
"AT2G153101",0,6.10438035129304,0.441,0.019,0,"phloem","AT2G15310"
"AT2G02020",0,5.99776932669928,0.425,0.009,0,"phloem","AT2G02020"
"AT1G02705",0,6.7819591463791,0.417,0.01,0,"phloem","AT1G02705"
"AT5G63710",0,5.61756526842612,0.417,0.021,0,"phloem","AT5G63710"
"AT2G31083",0,6.76696123792941,0.413,0.025,0,"phloem","AT2G31083"
"AT1G235301",0,5.63050180264965,0.402,0.015,0,"phloem","AT1G23530"
"AT1G54575",0,6.9554901409175,0.387,0.013,0,"phloem","AT1G54575"
"AT5G57350",0,5.275562767381,0.395,0.024,0,"phloem","AT5G57350"
"AT5G58690",0,5.96719461995277,0.387,0.027,0,"phloem","AT5G58690"
"AT3G21600",0,7.16747888797978,0.368,0.008,0,"phloem","AT3G21600"
"AT2G167401",0,5.3882053804722,0.366,0.025,0,"phloem","AT2G16740"
"AT3G15650",0,6.78906771328991,0.334,0.014,0,"phloem","AT3G15650"
"AT4G14020",0,5.72357238176803,0.324,0.02,0,"phloem","AT4G14020"
"AT2G02000",0,7.27203550904444,0.3,0.005,0,"phloem","AT2G02000"
"AT4G00670",0,7.56352090229979,0.299,0.009,0,"phloem","AT4G00670"
"AT4G19840",0,7.2270149409022,0.294,0.008,0,"phloem","AT4G19840"
"AT3G12730",0,6.45254276570481,0.287,0.005,0,"phloem","AT3G12730"
"AT5G49320",0,7.51037021754718,0.281,0.002,0,"phloem","AT5G49320"
"AT5G27690",0,8.92393008625041,0.279,0.002,0,"phloem","AT5G27690"
"AT5G63850",0,8.24764923666376,0.274,0.006,0,"phloem","AT5G63850"
"AT3G043001",0,5.50205154809696,0.277,0.012,0,"phloem","AT3G04300"
"AT1G75820",0,5.70303243767672,0.279,0.017,0,"phloem","AT1G75820"
"AT5G50820",0,5.93780226083197,0.268,0.007,0,"phloem","AT5G50820"
"AT1G07710",0,5.53892896072637,0.255,0.006,0,"phloem","AT1G07710"
"AT5G41380",0,6.71725675946624,0.257,0.009,0,"phloem","AT5G41380"
"AT2G27550",0,6.77059054524255,0.249,0.006,0,"phloem","AT2G27550"
"AT5G17450",0,7.46462002425816,0.231,0.002,0,"phloem","AT5G17450"
"AT4G20240",0,8.19786869615145,0.232,0.004,0,"phloem","AT4G20240"
"AT5G20640",0,5.25281094177954,0.219,0.007,0,"phloem","AT5G20640"
"AT3G14810",0,5.30434124241962,0.215,0.005,0,"phloem","AT3G14810"
"AT5G40010",0,5.65187998098602,0.199,0.006,0,"phloem","AT5G40010"
"AT2G31082",0,6.12712754687341,0.191,0.005,0,"phloem","AT2G31082"
"AT1G73630",0,7.79595326680607,0.182,0.002,0,"phloem","AT1G73630"
"AT5G26620",0,7.68194863810324,0.178,0.001,0,"phloem","AT5G26620"
"AT1G23730",0,7.00335950821867,0.168,0.002,0,"phloem","AT1G23730"
"AT3G25570",0,7.47190200002574,0.166,0.002,0,"phloem","AT3G25570"
"AT2G386401",1.36806295545401e-306,5.13797113815394,0.354,0.042,2.96527645594657e-302,"phloem","AT2G38640"
"AT4G15660",3.36905926683076e-279,6.23754418512623,0.156,0.004,7.30243596085568e-275,"phloem","AT4G15660"
"AT2G31081",2.10038838954438e-277,6.28549956048571,0.153,0.003,4.55259183433744e-273,"phloem","AT2G31081"
"AT2G48090",1.89776154330172e-265,7.50007803175502,0.132,0.002,4.11339814510647e-261,"phloem","AT2G48090"
"AT4G02810",7.51935813233988e-242,6.76756444021929,0.126,0.002,1.62982087518467e-237,"phloem","AT4G02810"
"AT1G80760",6.21180398577188e-237,7.07043419929097,0.128,0.002,1.34640851391605e-232,"phloem","AT1G80760"
"AT4G10310",2.70394714848706e-236,7.44011802145009,0.11,0.001,5.86080544434569e-232,"phloem","AT4G10310"
"AT5G49660",2.33303734355243e-226,6.09031547451685,0.11,0.001,5.0568584421499e-222,"phloem","AT5G49660"
"AT1G33340",1.1930974882266e-211,6.54997113151796,0.125,0.003,2.58603880573116e-207,"phloem","AT1G33340"
"AT2G02240",1.86033188228373e-210,5.10080784833449,0.129,0.004,4.03226935484999e-206,"phloem","AT2G02240"
"AT5G21910",3.02178257306621e-210,5.48342386992096,0.126,0.004,6.549713727121e-206,"phloem","AT5G21910"
"AT5G261401",2.56111245303466e-209,5.08638077769921,0.123,0.003,5.55121124195263e-205,"phloem","AT5G26140"
"AT1G043302",2.5501892489614e-197,5.54669913713945,0.159,0.01,5.52753519712384e-193,"phloem","AT1G04330"
"AT5G57190",9.45509635848275e-186,7.10080784833449,0.097,0.002,2.04939213570114e-181,"phloem","AT5G57190"
"AT5G238101",1.29091590471418e-174,5.08719741681584,0.143,0.009,2.79806022346799e-170,"phloem","AT5G23810"
"AT4G27590",1.91538085812622e-153,6.06273980750097,0.081,0.001,4.15158800998858e-149,"phloem","AT4G27590"
"AT2G35612",1.00616636051359e-148,7.89561751707298,0.072,0.001,2.18086558641321e-144,"phloem","AT2G35612"
"AT4G10120",5.0732852985133e-147,9.70566990649335,0.063,0,1.09963458845276e-142,"phloem","AT4G10120"
"AT2G25680",8.40425773736749e-140,6.90816277039209,0.08,0.002,1.8216228645744e-135,"phloem","AT2G25680"
"AT4G15990",9.68929238979818e-136,5.21502341719051,0.103,0.006,2.10015412548876e-131,"phloem","AT4G15990"
"AT5G64687",1.30763925429303e-119,5.80535196480832,0.062,0.001,2.83430808368015e-115,"phloem","AT5G64687"
"AT5G09220",1.44917131309893e-116,7.07820784133145,0.139,0.016,3.14107882114194e-112,"phloem","AT5G09220"
"AT4G15680",2.47014171947428e-112,5.86376865103364,0.063,0.001,5.35403217696051e-108,"phloem","AT4G15680"
"AT1G47400",1.29152721303005e-110,5.04703659189351,0.076,0.003,2.79938523424264e-106,"phloem","AT1G47400"
"AT1G77380",4.80831663087426e-108,5.77218510087312,0.073,0.003,1.042202629742e-103,"phloem","AT1G77380"
"AT4G31370",3.0965923501143e-106,7.51584534761333,0.051,0,6.71186391887274e-102,"phloem","AT4G31370"
"AT3G62930",2.04739353093425e-97,5.93088284689218,0.055,0.001,4.43772547829999e-93,"phloem","AT3G62930"
"AT1G65890",1.81348979348092e-89,6.00938482057089,0.086,0.007,3.93073912736989e-85,"phloem","AT1G65890"
"AT3G62960",1.42511444751545e-88,5.91070496495455,0.052,0.001,3.08893556498973e-84,"phloem","AT3G62960"
"AT4G15670",3.05396248436339e-86,6.97527696625063,0.041,0,6.61946368485765e-82,"phloem","AT4G15670"
"AT4G17695",2.40479305632439e-82,5.54826682530571,0.043,0.001,5.21238894958312e-78,"phloem","AT4G17695"
"AT1G52700",3.26779147181983e-73,6.34027378302988,0.04,0.001,7.08293801516948e-69,"phloem","AT1G52700"
"AT4G25010",2.1483309849343e-71,5.01061003936291,0.066,0.005,4.6565074098451e-67,"phloem","AT4G25010"
"AT5G18240",7.67409593394451e-69,7.68577034905565,0.033,0,1.66336029368247e-64,"phloem","AT5G18240"
"AT1G59730",9.61119351546574e-65,6.49722966944599,0.04,0.001,2.0832261944772e-60,"phloem","AT1G59730"
"AT4G31380",1.29612284019189e-64,6.10080784833449,0.034,0.001,2.80934625611593e-60,"phloem","AT4G31380"
"AT2G33775",1.49894115293996e-61,6.25281094177954,0.03,0,3.24895494899736e-57,"phloem","AT2G33775"
"AT4G01600",7.31642004604606e-59,7.10080784833449,0.027,0,1.58583404498048e-54,"phloem","AT4G01600"
"AT1G64370",1.31182164487843e-53,7.23009086527946,0.03,0.001,2.84337341527399e-49,"phloem","AT1G64370"
"AT2G18328",1.93369019426947e-46,7.24764923666376,0.022,0,4.19127349607909e-42,"phloem","AT2G18328"
"AT1G47317",5.5329447140476e-44,7.03940730367035,0.02,0,1.19926576676982e-39,"phloem","AT1G47317"
"AT5G04370",6.21697575332039e-42,6.01834568814252,0.025,0.001,1.3475294945322e-37,"phloem","AT5G04370"
"AT4G19850",1.13001076281274e-41,6.28138009397631,0.021,0,2.44929832839662e-37,"phloem","AT4G19850"
"AT3G16360",1.73875227836575e-41,7.07043419929097,0.02,0,3.76874556335775e-37,"phloem","AT3G16360"
"AT1G47603",3.12629130843353e-39,6.32320026967094,0.02,0,6.77623641102968e-35,"phloem","AT1G47603"
"AT1G16750",2.90335453812315e-38,5.4633779277192,0.022,0.001,6.29302096138192e-34,"phloem","AT1G16750"
"AT5G508001",4.07826722528933e-38,6.16354360368245,0.027,0.001,8.83964421081463e-34,"phloem","AT5G50800"
"AT4G38530",6.53064421735528e-36,5.36384225416828,0.021,0.001,1.41551713411176e-31,"phloem","AT4G38530"
"AT5G07180",1.64382364316813e-31,6.42273594322185,0.014,0,3.56298774656693e-27,"phloem","AT5G07180"
"AT4G15690",3.18054329100438e-29,9.21628506575443,0.012,0,6.893827583252e-25,"phloem","AT4G15690"
"AT5G61270",2.8248868275849e-25,5.2707328497768,0.016,0.001,6.12294219879027e-21,"phloem","AT5G61270"
"AT1G11460",2.66860683765732e-22,5.77887975344713,0.012,0,5.78420532062223e-18,"phloem","AT1G11460"
"AT1G22760",1.48599563765753e-21,5.97527696625063,0.01,0,3.22089554462269e-17,"phloem","AT1G22760"
"AT3G19550",1.30206501411709e-20,5.94880475488944,0.012,0,2.8222259180988e-16,"phloem","AT3G19550"
"AT5G49040",1.39580696024613e-17,5.32320026967094,0.01,0,3.02541158633349e-13,"phloem","AT5G49040"
"AT5G500902",0,5.38682564462135,0.638,0.022,0,"initials","AT5G50090"
"AT2G168503",0,5.00252585520308,0.647,0.034,0,"initials","AT2G16850"
"AT2G267003",0,5.10234323883367,0.624,0.025,0,"initials","AT2G26700"
"AT5G095001",1.38450296965186e-164,5.13049427914782,0.157,0.007,3.00091018672042e-160,"initials","AT5G09500"
"AT1G31310",4.87571479526794e-129,7.12597879802532,0.067,0.001,1.05681118187433e-124,"initials","AT1G31310"
"AT1G706801",1.14970011632404e-125,6.29881539488754,0.078,0.001,2.49197500213236e-121,"initials","AT1G70680"
"AT4G24860",4.0178156304443e-92,5.96610746124693,0.058,0.001,8.70861537898803e-88,"initials","AT4G24860"
"AT2G13900",1.00746609959352e-83,7.01704442647216,0.048,0.001,2.18368277086896e-79,"initials","AT2G13900"
"AT1G041501",7.27119301048453e-61,5.2880355561343,0.041,0.001,1.57603108502252e-56,"initials","AT1G04150"
"AT3G12890",3.99178373447636e-35,5.88893960072448,0.021,0,8.65219124447751e-31,"initials","AT3G12890"
"AT1G05610",6.76569863035867e-35,5.25150968010918,0.032,0.001,1.46646517813024e-30,"initials","AT1G05610"
"AT2G349251",1.2195962922098e-32,5.7445496913893,0.023,0.001,2.64347496336474e-28,"initials","AT2G34925"
"AT3G09110",6.90401199073039e-30,6.47390210144563,0.014,0,1.49644459899081e-25,"initials","AT3G09110"
"AT1G10657",3.28128822352972e-18,5.78202439680796,0.012,0,7.11219222450067e-14,"initials","AT1G10657"
